Id,Score
1,3.836581851128242
2,3.6912427688092353
3,4.233354951094348
4,3.568182723079061
5,2.36699380655493
6,3.9671379464175387
7,4.711721211462228
8,4.61648771040509
9,4.085488941873544
10,3.821537842090572
11,3.4395977052498927
12,4.312811922805233
13,4.245126972305907
14,2.935938399520693
15,3.144773658771829
16,2.7957743936181023
17,4.031722784376994
18,3.997266315668182
19,3.08345052887637
20,1.8655192593263592
21,2.3940800590963045
22,2.1612080554929194
23,2.29485503546859
24,2.4433940553899816
25,2.8525796005210844
26,2.415098880884444
27,3.268828183663881
28,2.858981360692955
29,3.084803723564536
30,2.809049752679584
31,4.263423450742072
32,3.482110430563734
33,3.205648643603073
34,3.522923397791044
35,3.1830427716179703
36,4.2113023389405795
37,3.9006327252098427
38,2.912101851872164
39,4.223803951122532
40,4.324067067649938
41,3.5558821631149664
42,2.9693128548394014
43,2.8741769608249865
44,3.5996881518038015
45,1.6303674702852604
46,2.139486430369737
47,3.0940589557689684
48,1.2485690659861564
49,1.2334904274504315
50,1.6197867407732074
51,3.9586172383726006
52,4.178133430960267
53,3.4017619719539285
54,3.788345535274098
55,4.042415392332057
56,3.1978961122712293
57,2.773252476139599
58,3.87616476256771
59,3.8443499930826297
60,3.9496657735951906
61,3.9403773981871644
62,4.034880805871426
63,3.773560835530222
64,4.464056575468636
65,3.3468438094035724
66,4.689930764416024
67,4.415269696156968
68,4.408568665358309
69,4.649539233201878
70,4.429735261990536
71,4.460133231471404
72,4.7450047826596045
73,4.54428842801598
74,4.57554930714395
75,4.348503241170482
76,2.89259851043711
77,2.8506077213242955
78,3.6955119640315592
79,1.541355070229253
80,3.8264261637822807
81,3.3673356075596743
82,3.689012112510727
83,4.025824392961042
84,3.926529391265778
85,4.372362489948814
86,4.261815499677871
87,4.146195404761429
88,4.075888893096609
89,4.375007867426603
90,3.81447261161286
91,4.09729403513681
92,3.5757009112602556
93,4.588618139716044
94,3.9995447372587662
95,4.4353056368934505
96,3.8256801832295326
97,4.098627933412591
98,4.4228325190046665
99,4.247712318276614
100,4.273112172709339
101,2.776127477211945
102,2.653836940164493
103,3.4069291624038973
104,3.058058890299369
105,3.1964835152926168
106,3.267407622167862
107,3.1654129402740767
108,2.6754492562853662
109,3.6500126531955077
110,3.469649388410139
111,4.253365363486701
112,4.423438357217526
113,4.350961945058859
114,4.226210674941908
115,4.308332660630188
116,4.4871318425273
117,4.39073724220612
118,4.39566091046362
119,4.106065684602404
120,4.645124920047183
121,3.732491776314935
122,4.347433183486122
123,3.7381871363768817
